individual,species,sample
MAf1,Crepidula fornicata,Naha_forn
MAf3,Crepidula fornicata,Naha_forn
MAf4,Crepidula fornicata,Naha_forn
MAf5,Crepidula fornicata,Naha_forn
MAf6,Crepidula fornicata,Naha_forn
MAf7,Crepidula fornicata,Naha_forn
MAf9,Crepidula fornicata,Naha_forn
MAf10,Crepidula fornicata,Naha_forn
MAf11,Crepidula fornicata,Naha_forn
MAf12,Crepidula fornicata,Naha_forn
MAf13,Crepidula fornicata,Naha_forn
MAf14,Crepidula fornicata,Naha_forn
MAf16,Crepidula fornicata,Naha_forn
MAf18,Crepidula fornicata,Naha_forn
MAf19,Crepidula fornicata,Naha_forn
MAf20,Crepidula fornicata,Naha_forn
MAf22,Crepidula fornicata,Naha_forn
MAf23,Crepidula fornicata,Naha_forn
MAf24,Crepidula fornicata,Naha_forn
MAf25,Crepidula fornicata,Naha_forn
MAf26,Crepidula fornicata,Naha_forn
MAf28,Crepidula fornicata,Naha_forn
MAf29,Crepidula fornicata,Naha_forn
MAf30,Crepidula fornicata,Naha_forn
NYc16,Crepidula convexa,NewY_conv
NYc17,Crepidula convexa,NewY_conv
NYc18,Crepidula convexa,NewY_conv
NYc19,Crepidula convexa,NewY_conv
NYc20,Crepidula convexa,NewY_conv
NYf1,Crepidula fornicata,NewY_forn
NYf2,Crepidula fornicata,NewY_forn
NYf3,Crepidula fornicata,NewY_forn
NYf4,Crepidula fornicata,NewY_forn
NYf5,Crepidula fornicata,NewY_forn
NYf6,Crepidula fornicata,NewY_forn
NYf7,Crepidula fornicata,NewY_forn
NYf9,Crepidula fornicata,NewY_forn
NYf12,Crepidula fornicata,NewY_forn
NYf13,Crepidula fornicata,NewY_forn
NYf14,Crepidula fornicata,NewY_forn
NYf15,Crepidula fornicata,NewY_forn
NYf16,Crepidula fornicata,NewY_forn
NYf17,Crepidula fornicata,NewY_forn
NYf18,Crepidula fornicata,NewY_forn
NYf20,Crepidula fornicata,NewY_forn
NYf21,Crepidula fornicata,NewY_forn
NYf22,Crepidula fornicata,NewY_forn
NYf23,Crepidula fornicata,NewY_forn
NYf24,Crepidula fornicata,NewY_forn
NYf25,Crepidula fornicata,NewY_forn
NYf27,Crepidula fornicata,NewY_forn
NYf29,Crepidula fornicata,NewY_forn
NYf30,Crepidula fornicata,NewY_forn
NLf1,Crepidula fornicata,Newf_forn
NLf2,Crepidula fornicata,Newf_forn
NLf4,Crepidula fornicata,Newf_forn
NLf7,Crepidula fornicata,Newf_forn
NLf8,Crepidula fornicata,Newf_forn
NLf9,Crepidula fornicata,Newf_forn
NLf10,Crepidula fornicata,Newf_forn
NLf11,Crepidula fornicata,Newf_forn
NLf12,Crepidula fornicata,Newf_forn
NLf14,Crepidula fornicata,Newf_forn
NLf15,Crepidula fornicata,Newf_forn
NLf19,Crepidula fornicata,Newf_forn
NLf20,Crepidula fornicata,Newf_forn
NLf21,Crepidula fornicata,Newf_forn
NLf22,Crepidula fornicata,Newf_forn
NLf23,Crepidula fornicata,Newf_forn
NLf24,Crepidula fornicata,Newf_forn
NLf25,Crepidula fornicata,Newf_forn
NLf26,Crepidula fornicata,Newf_forn
NLf27,Crepidula fornicata,Newf_forn
NLf29,Crepidula fornicata,Newf_forn
NSf2,Crepidula fornicata,Nova_forn
NSf3,Crepidula fornicata,Nova_forn
NSf4,Crepidula fornicata,Nova_forn
NSf6,Crepidula fornicata,Nova_forn
NSf8,Crepidula fornicata,Nova_forn
NSf9,Crepidula fornicata,Nova_forn
NSf10,Crepidula fornicata,Nova_forn
NSf11,Crepidula fornicata,Nova_forn
NSf12,Crepidula fornicata,Nova_forn
NSf13,Crepidula fornicata,Nova_forn
NSf14,Crepidula fornicata,Nova_forn
NSf15,Crepidula fornicata,Nova_forn
NSf16,Crepidula fornicata,Nova_forn
NSf17,Crepidula fornicata,Nova_forn
NSf18,Crepidula fornicata,Nova_forn
NSf19,Crepidula fornicata,Nova_forn
NSf20,Crepidula fornicata,Nova_forn
NSf21,Crepidula fornicata,Nova_forn
NSf22,Crepidula fornicata,Nova_forn
NSf23,Crepidula fornicata,Nova_forn
NSf24,Crepidula fornicata,Nova_forn
NSf25,Crepidula fornicata,Nova_forn
NSf26,Crepidula fornicata,Nova_forn
NSf28,Crepidula fornicata,Nova_forn
NSf29,Crepidula fornicata,Nova_forn
NSf30,Crepidula fornicata,Nova_forn
BSc1,Crepidula convexa,Barn_conv
BSc2,Crepidula convexa,Barn_conv
BSc3,Crepidula convexa,Barn_conv
BSc4,Crepidula convexa,Barn_conv
BSc5,Crepidula convexa,Barn_conv
BSc6,Crepidula convexa,Barn_conv
BSc7,Crepidula convexa,Barn_conv
BSc8,Crepidula convexa,Barn_conv
BSc9,Crepidula convexa,Barn_conv
BSc10,Crepidula convexa,Barn_conv
BSc11,Crepidula convexa,Barn_conv
BSc12,Crepidula convexa,Barn_conv
BSc13,Crepidula convexa,Barn_conv
BSc14,Crepidula convexa,Barn_conv
BSc15,Crepidula convexa,Barn_conv
BSc16,Crepidula convexa,Barn_conv
BSc17,Crepidula convexa,Barn_conv
BSc18,Crepidula convexa,Barn_conv
BSc19,Crepidula convexa,Barn_conv
BSc20,Crepidula convexa,Barn_conv
BSc21,Crepidula convexa,Barn_conv
BSc22,Crepidula convexa,Barn_conv
BSc23,Crepidula convexa,Barn_conv
BSc24,Crepidula convexa,Barn_conv
NHc3,Crepidula convexa,Naha_conv
NHc4,Crepidula convexa,Naha_conv
NHc5,Crepidula convexa,Naha_conv
NHc6,Crepidula convexa,Naha_conv
NHc7,Crepidula convexa,Naha_conv
NHc10,Crepidula convexa,Naha_conv
NHc12,Crepidula convexa,Naha_conv
NHc13,Crepidula convexa,Naha_conv
NHc14,Crepidula convexa,Naha_conv
NHc15,Crepidula convexa,Naha_conv
NHc16,Crepidula convexa,Naha_conv
NHc17,Crepidula convexa,Naha_conv
NHc18,Crepidula convexa,Naha_conv
NHc19,Crepidula convexa,Naha_conv
NHc20,Crepidula convexa,Naha_conv
NHc21,Crepidula convexa,Naha_conv
NHc22,Crepidula convexa,Naha_conv
NHc23,Crepidula convexa,Naha_conv
NHc24,Crepidula convexa,Naha_conv
NHc25,Crepidula convexa,Naha_conv
NHc26,Crepidula convexa,Naha_conv
NHc27,Crepidula convexa,Naha_conv
NHc28,Crepidula convexa,Naha_conv
NHc29,Crepidula convexa,Naha_conv
NHc30,Crepidula convexa,Naha_conv
NJc1,Crepidula convexa,NewJ_conv
NJc2,Crepidula convexa,NewJ_conv
NJc3,Crepidula convexa,NewJ_conv
NJc5,Crepidula convexa,NewJ_conv
NJc6,Crepidula convexa,NewJ_conv
NJc7,Crepidula convexa,NewJ_conv
NJc8,Crepidula convexa,NewJ_conv
NJc10,Crepidula convexa,NewJ_conv
NJc11,Crepidula convexa,NewJ_conv
NJc12,Crepidula convexa,NewJ_conv
NJc13,Crepidula convexa,NewJ_conv
NJc14,Crepidula convexa,NewJ_conv
NJc15,Crepidula convexa,NewJ_conv
NJc16,Crepidula convexa,NewJ_conv
